Client ID,Num Samples,Gradient Magnitude,Gradient Variance,Cluster
f0002_01,405,0.17974276840686798,0.001600205316208303,0
f0029_05,248,0.11386072635650635,0.0006257719360291958,1
f0047_00,396,0.16787642240524292,0.0014529791660606861,0
f0094_41,172,0.1522313803434372,0.001125828828662634,-1
f0095_41,404,0.17113284766674042,0.0015066913329064846,0
f0132_17,349,0.15591013431549072,0.0011965802405029535,0
f0202_09,343,0.14702372252941132,0.0010627079755067825,0
f0210_17,354,0.14686928689479828,0.001050380291417241,0
f0221_37,346,0.1577228605747223,0.001208991277962923,0
f0236_17,215,0.11228946596384048,0.000626494933385402,1
f0243_29,403,0.17511031031608582,0.001585309044457972,0
f0254_46,430,0.2019244134426117,0.0019586565904319286,0
f0283_31,305,0.12906374037265778,0.0008093062788248062,1
f0294_18,133,0.07333376258611679,0.000262567336903885,2
f0295_17,383,0.17457926273345947,0.0015338680241256952,0
f0315_31,426,0.20947831869125366,0.002126229926943779,0
f0332_15,393,0.17273662984371185,0.0015162861673161387,0
f0343_35,366,0.144953653216362,0.0010757294949144125,0
f0356_41,370,0.15736451745033264,0.00123921490740031,0
f0374_13,384,0.16086773574352264,0.0012829586630687118,0
f0410_43,51,0.041163694113492966,8.653529221192002e-05,0
f0426_47,178,0.08236765116453171,0.00034410227090120316,2
f0437_05,360,0.15138021111488342,0.0011342621874064207,0
f0440_17,319,0.14030352234840393,0.0009536100551486015,1
f0454_20,359,0.1546296924352646,0.001207158900797367,0
f0462_07,265,0.1209825873374939,0.0007673395448364317,1
f0488_39,386,0.1533944457769394,0.0012297611683607101,0
f0505_13,244,0.09953013062477112,0.0004929972346872091,1
f0512_15,342,0.15052086114883423,0.0011493000201880932,0
f0527_23,319,0.11571847647428513,0.0006653789896517992,1
f0561_12,345,0.14999589323997498,0.0011199890868738294,0
f0562_31,83,0.09085337817668915,0.00040106248343363404,2
f0591_27,327,0.1358908861875534,0.0009441038710065186,1
f0599_04,252,0.11701682955026627,0.0006711207097396255,1
f0619_33,244,0.1099892258644104,0.0006054015830159187,1
f0631_03,390,0.16453276574611664,0.0013703522272408009,0
f0643_23,366,0.15200643241405487,0.0011748559772968292,0
f0656_11,303,0.14602847397327423,0.0010531677398830652,0
f0670_02,245,0.10467619448900223,0.0005398184293881059,1
f0680_28,93,0.07853242009878159,0.00031550717540085316,2
f0681_47,361,0.1388743668794632,0.0009760592947714031,1
f0691_00,235,0.10864950716495514,0.0005623698816634715,1
f0717_46,392,0.18159617483615875,0.0016090343706309795,0
f0781_31,301,0.13423305749893188,0.0009021742735058069,1
f0793_02,358,0.22407956421375275,0.002369081834331155,0
f0835_08,332,0.15734291076660156,0.001201622886583209,0
f0870_31,293,0.11314450949430466,0.0006522652693092823,1
f0871_23,247,0.14324951171875,0.0010412626434117556,1
f0897_19,254,0.09898866713047028,0.0004926685942336917,1
f0903_42,49,0.044119976460933685,9.797399252420291e-05,0
f0909_04,271,0.1270143985748291,0.0008592254016548395,1
f0939_32,324,0.13551129400730133,0.0009218787890858948,1
f0947_41,329,0.12994323670864105,0.000844002643134445,1
f0949_02,17,0.020141880959272385,1.9041057385038584e-05,0
f0954_02,289,0.12927497923374176,0.0008299246546812356,1
f0984_25,347,0.14696894586086273,0.0011131949722766876,0
f1055_16,277,0.1244911402463913,0.0007709396304562688,1
f1072_34,216,0.10414997488260269,0.0005272464477457106,1
f1076_12,273,0.12108539044857025,0.0007335952832363546,1
f1089_04,367,0.16415032744407654,0.0013354024849832058,0
f1108_14,286,0.12698659300804138,0.000812095939181745,1
f1111_02,370,0.15767569839954376,0.0012701740488409996,0
f1120_05,401,0.18345220386981964,0.0016731579089537263,0
f1150_03,238,0.1006811186671257,0.0005238896701484919,1
f1181_27,135,0.09869126230478287,0.0005031759501434863,2
f1185_47,213,0.11801926791667938,0.0007051698048599064,1
f1221_17,138,0.07532308250665665,0.00027703374507837,2
f1231_36,334,0.13635843992233276,0.0009407958714291453,1
f1266_29,9,0.013341175392270088,8.293432074424345e-06,0
f1275_19,301,0.1138942539691925,0.0006524951313622296,1
f1282_39,396,0.17355284094810486,0.0014947744784876704,0
f1289_06,302,0.1366512030363083,0.0009675399051047862,1
f1317_00,237,0.11023849993944168,0.0005974391824565828,1
f1351_29,34,0.026658067479729652,3.4702046832535416e-05,0
f1354_22,337,0.13615252077579498,0.000976997776888311,1
f1358_13,147,0.08256133645772934,0.0003157651808578521,2
f1372_35,344,0.1383669525384903,0.0009936937130987644,1
f1382_07,376,0.1718187928199768,0.0014991790521889925,0
f1417_14,103,0.08972027152776718,0.00039875711081549525,2
f1422_18,335,0.15913349390029907,0.0012940478045493364,0
f1444_03,340,0.1458531767129898,0.0010726744076237082,0
f1462_01,302,0.13942457735538483,0.000953453010879457,1
f1501_00,161,0.11465335637331009,0.0006379878032021224,1
f1507_20,150,0.10281185060739517,0.0005038626841269433,2
f1510_28,174,0.11746181547641754,0.0006735615897923708,1
f1513_07,119,0.08140936493873596,0.000323092273902148,2
f1579_11,173,0.11189649254083633,0.0006129228277131915,1
f1595_34,160,0.11346923559904099,0.0006414728704839945,1
f1606_19,152,0.09533248841762543,0.00044187696767039597,2
f1623_09,108,0.05264471471309662,0.0001366487704217434,0
f1624_03,110,0.07908482104539871,0.00031019345624372363,2
f1638_14,164,0.10710370540618896,0.0005621062591671944,1
f1664_04,153,0.11156905442476273,0.0006116624572314322,1
f1695_12,167,0.10334471613168716,0.0005328821716830134,1
f1704_29,176,0.11696355044841766,0.0006936638383194804,1
f1724_42,55,0.029659194871783257,4.402760532684624e-05,0
f1767_34,51,0.05202697217464447,0.0001322952302871272,0
f1770_47,154,0.10768495500087738,0.0005651215324178338,1
f1782_05,133,0.09975402802228928,0.00047853420255705714,2
f1784_17,156,0.09720607101917267,0.0004674936062656343,2
f1787_36,151,0.10291824489831924,0.0005096824606880546,1
f1790_11,143,0.09808053076267242,0.0004793384578078985,2
f1802_35,109,0.07362569868564606,0.0002760477946139872,2
f1858_21,4,0.020716067403554916,2.2664917196379974e-05,0
f1865_30,150,0.09675184637308121,0.00047849048860371113,2
f1906_16,173,0.12258937209844589,0.0007259408012032509,1
f1911_44,124,0.11164986342191696,0.0006149988621473312,1
f1921_33,16,0.03119620494544506,4.839682878809981e-05,0
f1934_10,140,0.08769712597131729,0.0003805954474955797,2
f1938_21,145,0.09437189996242523,0.00043832481605932117,2
f1956_19,165,0.10559476166963577,0.0005430353339761496,1
f1959_39,144,0.08621509373188019,0.0003773719654418528,2
f1990_33,47,0.02787676826119423,3.970386751461774e-05,0
f2015_08,145,0.09691578894853592,0.00047254469245672226,2
f2029_03,145,0.0934295728802681,0.00043351732892915606,2
f2056_40,116,0.09004133194684982,0.00039383964031003416,2
f2067_38,73,0.05107935145497322,0.00013906281674280763,0
f2100_97,179,0.1270086020231247,0.000794725667219609,1
f2104_50,143,0.08129735291004181,0.00033622526098042727,2
f2108_54,150,0.10370483994483948,0.0005287498934194446,1
f2135_53,149,0.13232488930225372,0.0008430472807958722,1
f2187_54,148,0.09239406883716583,0.0004340490559116006,2
f2196_58,165,0.10040022432804108,0.0004988498985767365,2
f2265_80,165,0.11024629324674606,0.0005876931827515364,1
f2285_54,170,0.11347389966249466,0.0006288766744546592,1
f2305_60,179,0.13643059134483337,0.0009188636904582381,1
f2351_74,178,0.11602964252233505,0.0006481239688582718,1
f2364_65,11,0.012770875357091427,8.44000624056207e-06,0
f2392_80,180,0.13155046105384827,0.0008451518369838595,1
f2401_78,177,0.1151784360408783,0.000653957249596715,1
f2408_73,163,0.11111126095056534,0.0006031425436958671,1
f2423_88,111,0.05382819473743439,0.0001468938571633771,0
f2428_96,176,0.1213819831609726,0.0007186682778410614,1
f2461_99,170,0.11843384802341461,0.0007089607533998787,1
f2469_50,171,0.12292459607124329,0.0007461078930646181,1
f2485_77,178,0.1150478646159172,0.000661773607134819,1
f2518_67,168,0.12871330976486206,0.0008201532764360309,1
f2542_55,168,0.12608543038368225,0.0008033480262383819,1
f2560_93,170,0.11009802669286728,0.0006008282070979476,1
f2561_89,181,0.12948235869407654,0.0008108218898996711,1
f2568_54,176,0.11672042310237885,0.0006619676132686436,1
f2569_58,178,0.1170123890042305,0.000680047960486263,1
f2585_74,170,0.11455146968364716,0.0006644901586696506,1
f2593_72,130,0.0697169229388237,0.0002367697306908667,2
f3128_15,179,0.1295449584722519,0.0008259816095232964,1
f3130_44,178,0.10902493447065353,0.000594817684032023,1
f3138_46,178,0.11209239810705185,0.0006119480822235346,1
f3162_20,184,0.11570362746715546,0.0006525535136461258,1
f3194_31,184,0.12198255956172943,0.0007293117814697325,1
f3199_08,179,0.1276966780424118,0.0008139528217725456,1
f3214_03,157,0.13334311544895172,0.0008550907950848341,1
f3219_49,179,0.13028837740421295,0.000865346344653517,1
f3223_18,141,0.10291027277708054,0.0005271383561193943,1
f3242_19,158,0.10853923112154007,0.0005930945626460016,1
f3259_15,180,0.12484510987997055,0.0007659860420972109,1
f3299_12,181,0.12277441471815109,0.0007439109613187611,1
f3310_44,167,0.11125098168849945,0.000607077032327652,1
f3338_15,168,0.11351405829191208,0.0006593288853764534,1
f3364_36,178,0.12091036885976791,0.000715157832019031,1
